date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:36:19	12183/12183	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Feb%202022%2019:24:21%20GMT	https://monsterapesales.com/	C:/My%20Web%20Sites/monster/monsterapesales.com/index.html	(from )
15:36:19	710/710	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Feb%202022%2014:36:19%20GMT	https://monsterapesales.com/robots.txt		(from )
15:36:20	4611/4611	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Jan%202022%2023:08:21%20GMT	https://monsterapesales.com/favicon.png	C:/My%20Web%20Sites/monster/monsterapesales.com/favicon.png	(from https://monsterapesales.com/)
15:36:20	4595/4595	---MCZ	200	added ('OK')	text/css	date:Wed,%2026%20Jan%202022%2023:08:25%20GMT	https://monsterapesales.com/css/style.css	C:/My%20Web%20Sites/monster/monsterapesales.com/css/style.css	(from https://monsterapesales.com/)
15:36:22	1369/1369	---M-Z	200	added ('OK')	text/css	etag:%225eb03fd5-559%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.css	C:/My%20Web%20Sites/monster/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.css	(from https://monsterapesales.com/)
15:36:23	1163746/1163746	---M-Z	200	added ('OK')	application/javascript	etag:W/%2211c1e2-CBKBj3aedzOyuXE1C535ub1XCzM%22	https://unpkg.com/web3@1.2.11/dist/web3.min.js	C:/My%20Web%20Sites/monster/unpkg.com/web3@1.2.11/dist/web3.min.js	(from https://monsterapesales.com/)
15:36:24	724950/724950	---MCZ	200	added ('OK')	application/javascript	etag:W/%221a2d14f2a1b6a8fdf298a75787ba2fcf%22	https://cdn.ethers.io/lib/ethers-5.1.umd.min.js	C:/My%20Web%20Sites/monster/cdn.ethers.io/lib/ethers-5.1.umd.min.js	(from https://monsterapesales.com/)
15:36:25	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:%22603e8adc-15d9d%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js	C:/My%20Web%20Sites/monster/cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js	(from https://monsterapesales.com/)
15:36:26	42863/42863	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fd5-a76f%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.js	C:/My%20Web%20Sites/monster/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.js	(from https://monsterapesales.com/)
15:36:31	1236/1236	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2026%20Jan%202022%2023:08:31%20GMT	https://monsterapesales.com/js/sender.js	C:/My%20Web%20Sites/monster/monsterapesales.com/js/sender.js	(from https://monsterapesales.com/)
15:36:32	3016171/3016171	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2026%20Jan%202022%2023:08:37%20GMT	https://monsterapesales.com/js/onboard-dist/main.js	C:/My%20Web%20Sites/monster/monsterapesales.com/js/onboard-dist/main.js	(from https://monsterapesales.com/)
15:36:32	4019/4019	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2026%20Jan%202022%2023:08:30%20GMT	https://monsterapesales.com/js/scripts.js	C:/My%20Web%20Sites/monster/monsterapesales.com/js/scripts.js	(from https://monsterapesales.com/)
15:36:34	113214/113214	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Jan%202022%2023:08:47%20GMT	https://monsterapesales.com/media/slide2.png	C:/My%20Web%20Sites/monster/monsterapesales.com/media/slide2.png	(from https://monsterapesales.com/)
15:36:34	52096/52096	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Jan%202022%2023:08:47%20GMT	https://monsterapesales.com/media/slide3.png	C:/My%20Web%20Sites/monster/monsterapesales.com/media/slide3.png	(from https://monsterapesales.com/)
15:36:34	150730/150730	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Jan%202022%2023:08:45%20GMT	https://monsterapesales.com/media/slide1.png	C:/My%20Web%20Sites/monster/monsterapesales.com/media/slide1.png	(from https://monsterapesales.com/)
